,Aff,Neg,Win
0,Meadows KS,BASIS Peoria HD,Aff
1,Rowland Hall SC,Bellarmine  IB,Neg
2,Arizona  SS,Park City LL,Aff
3,New Trier PH,Archbishop Mitty MR,Neg
4,Green Canyon OZ,Sacred Heart Cathedral Prep CB,Aff
5,Meadows GK,Brophy PP,Aff
6,Bellarmine  CG,Rowland Hall LD,Aff
7,New Trier MP,West HS SLC JS,Aff
8,Archbishop Mitty TW,College Prep EN,Neg
9,Westlake SB,West HS SLC KA,Neg
10,Barstow TM,New Trier SY,Neg
11,Sacred Heart Cathedral Prep FY,Santa Fe Prep LV,Aff
12,Corner Canyon DK,Bay Area Independent PL,Neg
13,New Trier HJ,Bellarmine  OL,Neg
14,Rowland Hall UV,Barstow BS,Neg
15,Bellarmine  RH,Meadows KR,Neg
16,BASIS Peoria JG,Barstow GH,Neg
17,Meadows HK,Park City SC,Aff
18,Archbishop Mitty DS,Brophy SH,Neg
