,Aff,Neg,Win
0,Whitney Young BM,Notre Dame BC,Aff
1,Pace KG,Isidore Newman JN,Aff
2,Montgomery Bell SJ,Niles North CS,Aff
3,Niles North SP,Mamaroneck MS,Neg
4,Northview NL,Glenbrook North CiRi,Aff
5,Mamaroneck AG,Glenbrook North CR,Neg
6,McDonogh SP,Woodward TJ,Aff
7,Georgetown Day DX,Kenwood SW,Neg
8,Collegiate AS,Canyon Crest CS,Aff
9,Notre Dame MD,Caddo Magnet VA,Neg
10,Westminster HY,Berkeley Prep NY,Neg
11,Alpharetta MM,Mamaroneck FC,Neg
12,Lexington HW,Glenbrook South MP,Neg
13,Poly Prep Country Day BB,Little Rock Central TN,Neg
14,Glenbrook North FP,Poly Prep Country Day LB,Aff
15,Niles North MK,College Prep AB,Neg
16,Notre Dame DN,Westwood SA,Neg
17,Dallas Highland Park BC,Denmark BR,Aff
18,Caddo Magnet PM,Greenhill MO,Neg
19,Brophy PP,Newark Science AO,Aff
20,Westwood SG,New Trier PH,Aff
21,Pittsburgh Central Catholic HS,L C Anderson SW,Neg
22,Alpharetta IN,Carrollton School of the Sacred Heart RG,Aff
23,Glenbrook South KZ,Little Rock Central LW,Neg
24,Taipei American HC,Northside  AD,Neg
25,Coppell SJ,New Trier HW,Aff
26,Baltimore City PM,Bronx Science ZF,Aff
27,Lexington DS,Pace WE,Aff
28,Bronx Science GC,Rural Independent CN,Neg
29,Baltimore City MW,Lexington LM,Aff
30,Eastside SC,Caddo Magnet BA,Neg
31,Jesuit LR,Overland Park North Independent PS,Neg
32,Jesuit HB,Maine East GR,Aff
33,Winston Churchill MP,Damien-St. Lucy's SM,Aff
34,Collegiate FK,Montgomery Bell HM,Neg
35,Montgomery Bell LS,Liberal Arts and Science BS,Neg
36,Greenhill AJ,Marist CL,Neg
37,Alpharetta KB,Liberal Arts and Science BF,Neg
38,Sonoma YK,Northview BT,Aff
39,Woodward CM,Head-Royce AP,Aff
40,Westminster VZ,NSU BL,Aff
41,Decatur RC,Westwood BA,Neg
42,Liberal Arts and Science RL,Galloway DP,Aff
43,Melissa TN,Northview TC,Neg
44,Berkeley Prep LZ,Glenbrook South BW,Neg
45,Pace MG,Carrollton School of the Sacred Heart MG,Aff
46,Head-Royce DW,Taipei American YM,Aff
47,New Trier MP,Berkeley Prep RV,Neg
48,Georgetown Day MX,Carrollton School of the Sacred Heart JF,Aff
49,Minneapolis South WB,Eastside HS,Aff
50,Woodward NP,Peninsula LL,Neg
51,Johns Creek VG,Greenhill CL,Neg
52,Peninsula DY,Little Rock Central BG,Aff
53,Georgetown Day RW,Glenbrook North SY,Neg
54,Westminster PL,St Andrew's Episcopal AK,Aff
55,Canyon Crest LC,North Atlanta RC,Aff
