,Aff,Neg,Win
0,Westwood BA,Sonoma YK,Aff
1,Greenhill CL,Liberal Arts and Science RL,Aff
2,Westwood SG,Peninsula LL,Neg
3,Lexington DS,Liberal Arts and Science BF,Aff
4,Newark Science AO,Montgomery Bell HM,Neg
5,Baltimore City MW,Montgomery Bell SJ,Neg
6,Brophy PP,Liberal Arts and Science BS,Neg
7,Glenbrook South BW,Woodward CM,Neg
8,College Prep AB,Little Rock Central LW,Aff
9,Montgomery Bell LS,Kenwood SW,Aff
10,Coppell SJ,Glenbrook North CR,Aff
11,Johns Creek VG,Whitney Young BM,Neg
12,Head-Royce AP,New Trier MP,Aff
13,Berkeley Prep RV,Northview TC,Aff
14,Overland Park North Independent PS,L C Anderson SW,Neg
15,Mamaroneck FC,Rural Independent CN,Neg
