,Aff,Neg,Win
0,Lawrence Free State EP,Blue Valley North NH,Aff
1,Blue Valley West WJ,Newton KN,Neg
2,Shawnee Mission South KC,Blue Valley North CT,Neg
3,Washburn Rural CR,Olathe West OF,Aff
4,Blue Valley North MM,Shawnee Mission East DS,Neg
5,Washburn Rural RV,De Soto CS,Aff
6,Blue Valley West SV,Lawrence Free State FH,Neg
7,Washburn Rural BH,Shawnee Mission East PH,Neg
8,Washburn Rural CH,Shawnee Mission South MJ,Aff
9,Washburn Rural JK,Blue Valley North BN,Neg
10,Lawrence Free State HaFi,Shawnee Mission East BM,Neg
11,Olathe East DG,Mill Valley FP,Aff
12,Blue Valley EM,Blue Valley North LP,Neg
13,Shawnee Mission East HW,Mill Valley HK,Neg
