,Aff,Neg,Win
0,Damien-St. Lucy's KN,Quarry Lane AM,Neg
1,New Designs Charter School-University Park CS,San Marino CJ,Neg
2,Sonoma BD,Damien-St. Lucy's GI,Neg
3,CK McClatchy PG,Peninsula BB,Neg
4,San Marino PC,Sonoma PM,Neg
5,Peninsula KX,Rowland Hall UV,Aff
6,Meadows RK,Peninsula TW,Aff
7,Head-Royce DW,Polytechnic TK,Aff
8,College Prep BA,San Marino PM,Aff
9,Rowland Hall DL,Notre Dame AM,Neg
10,Fort Collins EF,Peninsula FL,Neg
11,Westlake SB,Meadows SK,Neg
12,Peninsula LW,Sonoma ML,Neg
13,Peninsula JS,Damien-St. Lucy's PP,Neg
14,Meadows KG,Peninsula PY,Neg
15,Notre Dame DP,Peninsula EW,Neg
16,OES LR,Lake Balboa DB,Aff
17,Sonoma KY,Rowland Hall CS,Aff
18,College Prep JT,Lake Balboa PG,Aff
19,Peninsula DY,Quarry Lane CA,Neg
20,Rowland Hall GH,Polytechnic HG,Aff
21,Brophy PP,Peninsula KK,Neg
22,Brophy SH,Damien-St. Lucy's CM,Aff
23,Peninsula LiLi,Notre Dame ND,Aff
