,Aff,Neg,Win
0,Little Rock Central BF,Marist CL,Aff
1,Unionville HK,Caddo Magnet WB,Aff
2,Maine East RU,Whitney Young BM,Neg
3,West HS SLC JS,Marist AR,Aff
4,Northwood ZG,Newark Science AO,Neg
5,Eagan HR,Okemos DT,Neg
6,Peninsula DU,St Andrew's Episcopal KA,Aff
7,Eagan MS,Newark Science OO,Aff
8,Westminster PL,Winston Churchill MP,Neg
9,Little Rock Central TB,Archbishop Mitty MR,Neg
10,Woodward CM,Eagan TN,Aff
11,Kinkaid AK,Little Rock Central LW,Neg
12,Pittsburgh Central Catholic AH,Northwood SY,Neg
13,Westminster VZ,Maine East JW,Aff
14,Clear Springs SG,Eagan WW,Aff
15,Little Rock Central WK,Caddo Magnet VA,Neg
