,Aff,Neg,Win
0,Niles North DH,Farmington KN,Aff
1,Niles West BE,Northside  AD,Neg
2,Walter Payton BR,La Crosse Central CT,Aff
3,Niles North GW,Iowa City Liberty HV,Aff
4,Glenbrook North DK,Whitney Young SP,Neg
5,Niles North KM,La Crosse Central YL,Aff
6,Washington AZ,Walter Payton YY,Aff
7,Iowa City LL,Washington DB,Aff
8,Niles North MK,Maine East SJ,Aff
9,Newton NK,Niles North CG,Aff
10,Glenbrook South MM,Northside  GO,Neg
11,Niles North SP,Millard North WG,Aff
12,Glenbrook South KZ,Whitney Young BM,Neg
13,Farmington CN,Glenbrook North CR,Neg
14,Northside  LP,Glenbrook North CiRi,Neg
15,Niles West SS,Iowa City CH,Aff
16,Glenbrook South FB,Whitney Young DM,Aff
17,Iowa City CR,Niles North CS,Neg
18,Maine East GR,Glenbrook North SY,Neg
19,Northside  CX,Glenbrook North CL,Neg
20,Northside  GT,Glenbrook South PC,Aff
21,Glenbrook North FP,Northside  AV,Aff
