,Aff,Neg,Win
0,New Trier PY,Hill Country  VL,Aff
1,Success Academy HSLA-MANHATTAN TR,Denmark Independent BT,Neg
2,University OM,Westminster PL,Aff
3,Westlake SB,New Trier HW,Neg
4,New Trier HJ,VHTPA TN,Aff
5,Avery Coonley SS,Princeton AF,Neg
6,Quarry Lane HG,St Mark's School of Texas DP,Neg
7,Brophy SH,Success Academy HSLA-MANHATTAN KY,Aff
8,Wylie E. Groves XC,Avery Coonley JS,Aff
9,Woodward JN,ADL SW,Aff
10,Avery Coonley TZ,Emerald HM,Aff
11,Solon HC,New Trier MP,Neg
12,Sharks Independent SW,Perry TD,Aff
13,Fox Chapel Independent RL,Pittsburgh Central Catholic HS,Neg
14,Taipei American HW,Sharks Independent OW,Neg
15,ADL CW,Montgomery Bell HM,Neg
16,ADL CC,VHTPA MH,Neg
17,Sharks Independent YL,Galloway DP,Neg
18,Quarry Lane KP,Greenhill NS,Aff
19,ASPEC KB,Univ Of Chicago Lab LL,Aff
20,James Logan AA,Northview LN,Neg
21,James Logan GS,Blue Valley West VS,Neg
22,Johns Creek GV,Lowell CL,Aff
23,Opus CC,St Mark's School of Texas JP,Neg
24,ADL WC,Sacred Heart Cathedral Prep FY,Neg
25,Westminster HY,ADL YD,Neg
26,Avery Coonley FN,ADL KC,Aff
27,Avery Coonley AT,Success Academy HSLA-HARLEM CD,Aff
28,New Trier SY,Century WB,Aff
29,Sacred Heart Cathedral Prep BC,Branson PW,Aff
30,Sidwell Independent VF,Sacred Heart Cathedral Prep WX,Aff
31,ADL KW,Central HS Springfield SS,Neg
32,VHTPA GR,Taipei American YM,Aff
33,Woodward CP,Montgomery Bell RF,Aff
