,Aff,Neg,Win
0,Montgomery Bell TB,Berkeley Prep RV,Neg
1,Brophy PP,Peninsula LL,Neg
2,Northview CT,Bellarmine  RH,Aff
3,Head-Royce AP,Washburn Rural CH,Aff
4,Taipei American YL,Little Rock Central LW,Aff
5,Liberal Arts and Science BF,Blue Valley Southwest PC,Aff
6,College Prep JG,Glenbrook South KZ,Neg
7,Washburn Rural CN,Mamaroneck CF,Neg
8,Whitney Young BM,Greenhill BH,Aff
9,Bellarmine  AQ,Glenbrook North CR,Neg
10,Shawnee Mission East PL,Liberal Arts and Science BS,Neg
11,Kenwood SW,Glenbrook South WB,Neg
12,Westwood BA,Damien-St. Lucy's PP,Aff
13,Bellarmine  DD,Liberal Arts and Science CK,Aff
14,Greenhill CL,Montgomery Bell HM,Aff
