,Aff,Neg,Win
0,McDonogh VB,Banneker TG,Neg
1,Georgetown Day GK,Calvert Hall BM,Neg
2,Brooklyn Technical JL,Mamaroneck GA,Neg
3,Calvert Hall SW,Forest Park AF,Aff
4,BASIS DC DS,Mamaroneck RW,Neg
5,Newark Science OO,Banneker TY,Aff
6,BASIS DC CM,Collegiate TL,Aff
7,CMIT North MG,Calvert Hall AJ,Neg
8,Duke Ellington TA,Brooklyn Technical MC,Neg
9,SWW WP,Newark Science AO,Neg
10,Sidwell FV,Collegiate FK,Aff
11,Mamaroneck SW,McDonogh AH,Aff
12,Mamaroneck MT,McDonogh SP,Aff
13,Creative Minds/Stuart Hobson MT,Baltimore City HM,Neg
14,Hardy GP,Mamaroneck MS,Neg
15,Mamaroneck CF,SWW NN,Aff
16,Sidwell AA,BASIS DC TP,Neg
17,McDonogh CM,Sidwell DJ,Aff
18,Collegiate PX,Duke Ellington SO,Aff
19,Calvert Hall CH,SWW DP,Neg
20,BASIS DC AP,Georgetown Day DX,Neg
21,College Park AO,Baltimore City AP,Neg
22,Duke Ellington SS,CMIT North/DuVal KM,Neg
23,Baltimore City MW,McDonogh KL,Aff
24,Brooklyn Technical SG,Georgetown Day KN,Aff
25,Eleanor Roosevelt AA,Banneker MS,Aff
