,Aff,Neg,Win
0,Lowell DR,Interlake LY,Neg
1,La Crosse Central LC,Lowell CG,Neg
2,Clear Springs SG,Brooklyn Technical GS,Aff
3,Parkrose HG,Lowell BS,Aff
4,La Crosse Central TK,Garfield TZ,Aff
5,Gunn KB,St Mark's School of Texas PT,Neg
6,Stuyvesant KS,La Crosse Central FM,Aff
7,Interlake CS,Stuyvesant BD,Aff
8,Garfield HS,St Mark's School of Texas TK,Neg
9,University SM,OES RL,Neg
10,Brooklyn Technical RC,Lowell CL,Aff
11,St Mark's School of Texas RD,La Crosse Central YL,Neg
12,East Valley SD,St Mark's School of Texas HD,Neg
13,Interlake OW,Garfield BS,Aff
14,University HW,Branson WP,Neg
15,St George's CC,East Valley NH,Aff
