,Aff,Neg,Win
0,St Mark's School of Texas JB,Little Rock Central TN,Aff
1,Greenhill MB,Winston Churchill LR,Aff
2,St Mark's School of Texas TK,Niles West KS,Aff
3,Ronald Reagan FP,Damien-St. Lucy's KN,Aff
4,George Washington MR,Woodward CM,Aff
5,BASIS San Antonio Shavano PK,Coppell TB,Neg
6,Lake Travis SO,Friendswood PH,Aff
7,Barack Obama Male Leadership Academy (HS) VT,Friendswood AK,Neg
8,Westwood ST,Winston Churchill LyRo,Aff
9,Heritage Hall HC,Dulles CI,Neg
10,Damien-St. Lucy's OC,Caddo Magnet VA,Neg
11,Jenks HG,Jesuit CJ,Aff
12,Greenhill BC,Kinkaid AK,Neg
13,Memorial CS,Westwood LU,Neg
14,Westwood GK,Greenhill BH,Aff
15,George Washington VS,Greenhill AX,Neg
16,Dripping Springs KT,Jesuit MW,Aff
17,Lovejoy PW,Berkeley Prep RZ,Aff
18,Liberal Arts and Science BF,Jesuit LR,Neg
19,Coppell SJ,Westwood SG,Aff
20,Liberal Arts and Science LM,Dallas Highland Park BC,Aff
21,Dripping Springs BC,Berkeley Prep GS,Neg
22,Isidore Newman JN,Niles West SV,Neg
23,Winston Churchill MP,L C Anderson SW,Neg
24,Melissa TN,Damien-St. Lucy's PP,Neg
25,Woodward TJ,Greenhill MS,Aff
26,St Mark's School of Texas HD,Woodward NP,Aff
