,Aff,Neg,Win
0,Dallas Highland Park CB,New Trier HJ,Neg
1,Winston Churchill MP,Head-Royce DW,Aff
2,Westwood AS,Brophy PP,Neg
3,Northview CT,Glenbrook South MP,Aff
4,Carrollton School of the Sacred Heart GM,North Lake Early BC,Aff
5,Berkeley Prep RZ,Peninsula LL,Aff
6,Sonoma LY,Northview LT,Neg
7,Glenbrook North CL,Montgomery Bell PR,Neg
8,Taipei American CH,St Mark's School of Texas GD,Aff
9,Washburn Rural CR,Greenhill AJ,Neg
10,Iowa City RC,Caddo Magnet VA,Neg
11,Winston Churchill LR,Sonoma MM,Neg
12,Pace GK,Rowland Hall CS,Aff
13,Westwood BA,Jesuit LR,Aff
14,Georgetown Day MT,Pace GM,Neg
15,Glenbrook South WB,Montgomery Bell HM,Aff
16,Peninsula KK,Dulles IC,Aff
17,Berkeley Prep RV,Greenhill CL,Aff
18,Mamaroneck MP,Little Rock Central NT,Aff
19,South Eugene GR,St Mark's School of Texas JB,Neg
20,Peninsula LW,Niles West RK,Aff
21,McDonogh SP,Carrollton School of the Sacred Heart RG,Neg
22,Rowland Hall GH,St Mark's School of Texas PH,Neg
23,Newark Science AO,New Trier SW,Aff
24,Peninsula KX,Bellarmine  AQ,Neg
25,Ronald Reagan FP,New Trier MP,Neg
26,St Mark's School of Texas LP,Westminster HY,Aff
27,Jesuit BP,Quarry Lane CA,Neg
28,Olathe North CF,Head-Royce AJ,Neg
29,Washburn Rural CH,Liberal Arts and Science BS,Neg
30,Bellarmine  DD,Berkeley Prep NY,Aff
31,Glenbrook North SY,Notre Dame BD,Neg
32,Quarry Lane YY,Liberal Arts and Science BF,Neg
33,Washburn Rural CN,Glenbrook South KZ,Aff
34,Niles West SV,Little Rock Central LW,Neg
35,Westminster PL,Fort Collins EF,Aff
36,Liberal Arts and Science LR,Coppell JS,Neg
37,Montgomery Bell SJ,Liberal Arts and Science LM,Aff
38,Meadows SK,Montgomery Bell KF,Neg
39,Taipei American YM,Alief Taylor MV,Aff
40,Kenwood SW,Head-Royce PC,Neg
41,St Mark's School of Texas TK,Glenbrook North FP,Neg
42,Notre Dame CP,Montgomery Bell SL,Neg
43,Peninsula DY,Isidore Newman JN,Aff
44,Georgetown Day WR,Westwood LU,Aff
45,Little Rock Central BG,Alief Taylor CP,Aff
46,Brophy SH,Coppell TC,Neg
47,Greenhill MO,Taipei American YL,Neg
48,Denmark BR,Glenbrook North CR,Aff
