,Aff,Neg,Win
0,Greenhill CL,Sonoma YK,Aff
1,Greenhill BH,Winston Churchill MP,Neg
2,Montgomery Bell SJ,Westwood SG,Aff
3,Westwood YS,Johns Creek VG,Neg
4,Montgomery Bell RP,Pace EK,Aff
5,St Mark's School of Texas JP,Heritage Hall CD,Aff
6,New Trier PH,Montgomery Bell LS,Neg
7,Quarry Lane AM,Pace MG,Neg
8,Quarry Lane PS,Greenhill MO,Neg
9,Coppell TB,Liberal Arts and Science CK,Neg
10,Greenhill AJ,Jesuit PL,Neg
11,St Mark's School of Texas BL,Woodward CM,Neg
12,Westwood BA,Quarry Lane AC,Aff
13,Dulles CI,New Trier SW,Neg
14,Liberal Arts and Science LM,Blue Valley Southwest DT,Aff
15,Liberal Arts and Science LR,Westwood ST,Aff
16,Westwood SA,St Mark's School of Texas GD,Aff
17,Sonoma MM,Liberal Arts and Science BV,Neg
18,Montgomery Bell HM,Blue Valley Southwest PC,Aff
19,St Mark's School of Texas TK,Dallas Highland Park BC,Neg
20,Woodward TJ,New Trier HJ,Neg
21,Dallas Highland Park GZ,Montgomery Bell TB,Neg
22,Peninsula LL,Greenhill SB,Aff
23,Sonoma BS,Athens RH,Neg
24,Olathe North CF,Coppell SJ,Neg
25,Sonoma LM,Peninsula KX,Neg
26,Washburn Rural CH,Athens TS,Aff
27,Westwood GK,Washburn Rural CN,Aff
28,Melissa TN,Montgomery Bell KF,Neg
29,Heritage Hall HH,Westwood LU,Neg
30,Woodward NP,Liberal Arts and Science BS,Neg
31,Little Rock Central TN,New Trier HY,Neg
