,Aff,Neg,Win
0,Shawnee Mission East HT,NSU AC,Aff
1,Blue Valley West MC,Shawnee Mission East PL,Neg
2,Blue Valley West BT,Baltimore City MW,Neg
3,Iowa City CL,Lowell SB,Neg
4,Lawrence Free State HF,NSU AY,Aff
5,La Crosse Central ST,Blue Valley TH,Neg
6,NSU BL,Unionville HK,Neg
7,Dowling Catholic BS,Maize CL,Neg
8,College Prep BA,Blue Valley West SV,Aff
9,Westminster YZ,Edina AC,Aff
10,Lawrence Free State FH,Edina AW,Aff
11,Maine East JW,Washington BD,Aff
12,Washington LZ,Blue Valley West WA,Neg
13,Franklin SP,Edina BL,Aff
14,Iowa City MC,Maize BR,Neg
15,Blue Valley West MJ,Lansing YO,Aff
16,Maine East RS,Lowell CL,Neg
17,La Crosse Central BL,Iowa City West SL,Aff
18,Iowa City RL,Shawnee Mission West WS,Neg
