,Aff,Neg,Win
0,Barstow BM,Blue Valley North LP,Neg
1,Washburn Rural CR,St Paul Central BM,Aff
2,St Paul Central WC,Jenks HG,Neg
3,Meadows HS,Opus CC,Neg
4,Meadows GS,Shawnee Mission South KC,Neg
5,St Paul Central UB,Shawnee Mission South AZ,Aff
6,Barstow KP,Maize CL,Neg
7,Shawnee Mission East HT,Casady FJ,Aff
8,Barstow OS,Little Rock Central BF,Aff
9,Blue Valley Southwest PC,Little Rock Central LW,Aff
10,Shawnee Mission South MD,Maize BR,Aff
11,Washburn Rural BH,Barstow AR,Aff
12,Little Rock Central BG,Olathe North MM,Neg
13,Edison Prep BB,Blue Valley North BN,Neg
14,Shawnee Mission East PL,Lawrence Free State FH,Neg
15,L C Anderson SW,Shawnee Mission South MJ,Aff
16,Barstow GH,Blue Valley North CT,Neg
