,Aff,Neg,Win
0,Lawrence Free State FW,Wichita East KZ,Neg
1,Shawnee Mission East BM,Pembroke Hill JT,Aff
2,Washburn Rural BL,Blue Valley North NN,Neg
3,Washburn Rural CN,Blue Valley Northwest JW,Aff
4,Newton KN,Washburn Rural RV,Aff
5,Wichita East SZ,Blue Valley North MM,Neg
6,Blue Valley North DH,Wichita East GL,Aff
7,Shawnee Mission South AZ,Olathe North MM,Neg
8,Olathe East DG,Eagan WW,Neg
9,Blue Valley Southwest DT,Shawnee Mission South MJ,Aff
10,Blue Valley North CT,Washburn Rural CR,Aff
11,Pembroke Hill WA,Manhattan TW,Aff
12,Blue Valley North PS,Blue Valley Southwest PC,Neg
13,Blue Valley Southwest HK,Manhattan AS,Neg
14,Wichita East FS,De Soto SC,Aff
15,Lansing AW,Shawnee Mission South SB,Aff
16,Hayden BA,Blue Valley North BK,Aff
17,Shawnee Mission West WS,Blue Valley TH,Neg
18,Barstow KP,Wichita East JS,Aff
19,Eagan SW,Shawnee Mission East PL,Neg
20,Olathe North FC,Lawrence Free State FE,Aff
21,Shawnee Mission South MM,Blue Valley West VS,Neg
22,Shawnee Mission East DS,Blue Valley West BG,Neg
23,Washburn Rural JK,Shawnee Mission East TH,Neg
24,Eagan NM,Pembroke Hill BC,Neg
25,Pembroke Hill ZM,Shawnee Mission South KC,Aff
26,Park Hill South SV,Lawrence Free State PH,Neg
27,Blue Valley North LP,Washburn Rural BH,Neg
