,Aff,Neg,Win
0,College Prep AB,Peninsula TW,Aff
1,Damien-St. Lucy's KN,Coppell TB,Neg
2,Albuquerque AE,ModernBrain SY,Aff
3,Sonoma BM,Damien-St. Lucy's JM,Neg
4,Lowell BS,Notre Dame CP,Neg
5,California Academy of Mathematics and Science GL,Sacred Heart Cathedral Prep CB,Neg
6,Culver City BL,College Prep BT,Aff
7,Northwood GC,Peninsula BB,Neg
8,Bellarmine  DD,Canyon Crest LY,Aff
9,Lake Balboa DS,West Campus (Sacramento) CM,Aff
10,Peninsula LiLi,Notre Dame GM,Aff
11,Peninsula DY,Lowell CL,Neg
12,Notre Dame DP,Bravo BB,Aff
13,ModernBrain LL,VHTPA TT,Neg
14,Lake Balboa NM,New Designs-University Park SS,Aff
15,Bellarmine  CG,VHTPA MH,Aff
16,Ghidotti Early CL,Damien-St. Lucy's DL,Neg
17,Quarry Lane AM,San Marino LC,Aff
18,Peninsula KK,Northwood SA,Aff
19,Sonoma BS,New Designs-University Park CG,Aff
20,Archbishop Mitty DN,Huntington DS,Neg
21,San Marino PL,Peninsula JL,Neg
22,Damien-St. Lucy's PP,Bellarmine  RH,Aff
23,Damien-St. Lucy's CM,Archbishop Mitty MR,Neg
24,Liberal Arts and Science CK,Peninsula PY,Aff
25,Peninsula EW,College Prep JT,Neg
26,VHTPA ON,Peninsula KX,Neg
27,Bravo RF,Quarry Lane HG,Neg
28,Peninsula LL,Culver City NR,Aff
29,Elizabeth Learning Center MT,ModernBrain WJ,Aff
30,Canyon Crest LC,VHTPA GR,Neg
31,Bellarmine  AQ,Northwood ZY,Aff
32,Notre Dame AM,Peninsula FW,Aff
33,Peninsula ZZ,College Prep GS,Aff
34,College Prep JG,Sacred Heart Cathedral Prep WL,Aff
35,Canyon Crest ZZ,Lake Balboa BB,Neg
36,OES RL,Lake Balboa PL,Aff
37,Quarry Lane PS,Archbishop Mitty SS,Neg
38,Elizabeth Learning Center ES,Notre Dame NY,Neg
39,ModernBrain PP,CK McClatchy DG,Aff
40,Notre Dame BD,Westlake SB,Aff
41,Sacred Heart Cathedral Prep FY,Quarry Lane CK,Neg
42,Bellarmine  OL,Liberal Arts and Science BF,Neg
43,Damien-St. Lucy's IG,Downtown Magnets LG,Neg
