,Aff,Neg,Win
0,Bellarmine  DD,Archbishop Mitty SS,Aff
1,Peninsula BB,Bellarmine  AQ,Neg
2,Peninsula KX,Quarry Lane HG,Aff
3,Canyon Crest CL,Notre Dame AM,Neg
4,Sacred Heart Cathedral Prep BC,Bellarmine  CG,Neg
5,Peninsula LiLi,Coppell TB,Neg
6,Lowell CL,Peninsula DY,Aff
7,Damien-St. Lucy's PP,Huntington DS,Neg
8,Quarry Lane CK,Liberal Arts and Science BF,Neg
9,San Marino LC,Peninsula KK,Neg
10,Liberal Arts and Science CK,Notre Dame CP,Aff
11,Bellarmine  RH,Quarry Lane AM,Neg
12,Notre Dame BD,Archbishop Mitty MR,Aff
13,College Prep BA,Quarry Lane PS,Aff
14,Bellarmine  OL,VHTPA MH,Neg
