,Aff,Neg,Win
0,Damien-St. Lucy's BS,ModernBrain YW,Neg
1,Damien-St. Lucy's DS,Peninsula LW,Neg
2,Canyon Crest LP,Mission Vista FC,Neg
3,ModernBrain LL,Peninsula MP,Neg
4,Canyon Crest KR,San Marino PM,Neg
5,Lake Balboa NM,Peninsula UV,Aff
6,Canyon Crest DN,ModernBrain KL,Neg
7,Peninsula DY,Lake Balboa BG,Aff
8,Peninsula SW,Lake Balboa PL,Neg
9,Westview ST,Peninsula CK,Neg
10,Damien-St. Lucy's MR,Peninsula EW,Neg
11,Huntington Park DS,Peninsula LiLi,Neg
12,Peninsula ZZ,Canyon Crest CS,Aff
13,ModernBrain PP,Damien-St. Lucy's GI,Neg
14,Peninsula PY,Lake Balboa DS,Aff
15,San Marino CJ,ModernBrain LS,Aff
16,Huntington Park BP,Damien-St. Lucy's JC,Neg
17,Damien-St. Lucy's KN,Peninsula BB,Aff
18,Canyon Crest CL,Peninsula JS,Aff
