,Aff,Neg,Win
0,SWW WP,Boston Latin PA,Neg
1,Mamaroneck SW,Somerville MW,Aff
2,Eleanor Roosevelt NM,Newark Science LA,Neg
3,NSU AY,AHS @PGCC MR,Aff
4,Banneker BM,BASIS DC PD,Neg
5,Newark Science OO,Calvert Hall SW,Neg
6,Eliot Hine TT,Pine Crest AE,Neg
7,Newark Science AO,McDowell LJ,Aff
8,Bronx Science GC,Weequahic SG,Aff
9,Peninsula LL,Weequahic GO,Aff
10,BASIS DC TP,Mamaroneck MT,Neg
11,BASIS DC AS,Wylie E. Groves XC,Aff
12,Northstar Academy HS - Newark AM,Calvert Hall HT,Aff
13,Poly Prep LB,Ruth Batson FN,Neg
14,Pine Crest GG,Northstar Academy HS - Newark QY,Neg
15,Forest Park AF,Fenway HM,Aff
16,Peninsula KK,Georgetown Day MX,Neg
17,NSU AC,Boston Latin LL,Neg
18,Success Academy HSLA-MANHATTAN WO,Hardy GP,Aff
19,Bronx Science FC,Mamaroneck MP,Neg
20,Somerville CU,Mamaroneck MK,Neg
21,Prospect Hill Academy Charter GR,Bronx Science AL,Neg
22,Eleanor Roosevelt AA,Weequahic BH,Aff
23,Somerville SK,Poly Prep BB,Neg
24,Pine Crest CT,BASIS DC MC,Neg
25,Banneker GY,SWW DP,Neg
26,Somerville CM,Mamaroneck WR,Neg
27,Newark Tech BO,Success Academy HSLA-MANHATTAN LP,Neg
28,Georgetown Day GG,John D. O'Bryant School Of Mathematics And Science BM,Aff
29,Bronx Science OZ,Duke Ellington SO,Aff
30,NSU BL,Bronx Science EK,Neg
31,Peninsula EW,Georgetown Day KN,Neg
