,Aff,Neg,Win
0,Lexington DS,Unionville Independent KH,Neg
1,Lexington SiDa,Bronx Science BG,Neg
2,Banneker DT,McDonogh KL,Neg
3,BASIS DC PP,Newark Science OO,Neg
4,Duke Ellington SO,Ruth Batson FN,Neg
5,Bronx Science HP,Lexington KB,Aff
6,Lexington NS,Success Academy HSLA-MANHATTAN WP,Neg
7,Lexington WH,Georgetown Day HL,Aff
8,Somerville KS,DC International RG,Aff
9,Eleanor Roosevelt AA,SWW DP,Neg
10,Success Academy HSLA-MANHATTAN AB,Banneker BM,Aff
11,Bronx Science NN,Fenway MH,Neg
12,BASIS DC TD,SWW NN,Neg
13,Bronx Science SC,Forest Park AF,Aff
14,Bronx Science ML,Eliot Hine TT,Aff
15,Northstar Academy HS - Newark YQ,Banneker YG,Aff
16,Eleanor Roosevelt NM,Lexington XB,Neg
17,Collegiate FT,BASIS DC AS,Neg
18,Northstar Academy HS - Newark AM,Baltimore City PM,Neg
19,Bronx Science OA,Somerville WC,Aff
20,Bronx Science CG,Georgetown Day WR,Aff
21,Banneker ST,BASIS DC CM,Neg
22,Collegiate FP,Baltimore City MW,Neg
23,Newark Tech OB,Bronx Science CF,Neg
24,Georgetown Day GG,Boston Latin LL,Neg
25,Georgetown Day KN,Bronx Science BD,Aff
26,Poly Prep Country Day BL,Georgetown Day MX,Neg
27,DC International HW,Calvert Hall JS,Neg
