,Aff,Neg,Win
0,Carrollton School of the Sacred Heart KL,Wylie E. Groves XC,Neg
1,Eastside HS,Liberal Arts and Science BV,Neg
2,Berkeley Prep RV,Liberal Arts and Science RL,Aff
3,NSU EY,Berkeley Prep NY,Neg
4,Greenhill CL,Niles North MK,Aff
5,Carrollton School of the Sacred Heart GB,Lexington DS,Neg
6,Peninsula LL,Lexington HW,Aff
7,Solorio TG,Sonoma YK,Neg
8,Liberal Arts and Science BS,Shawnee Mission East PL,Aff
9,Montgomery Bell HM,Blue Valley North PS,Aff
10,Little Rock Central BW,Jesuit LR,Neg
11,Blue Valley North CT,Lexington LM,Neg
12,Montgomery Bell SJ,Berkeley Prep LZ,Aff
13,Galloway DP,Blue Valley Southwest PC,Neg
14,Northview TC,Woodward NP,Aff
15,Glenbrook South BW,Washburn Rural CH,Aff
16,Barstow GK,Little Rock Central LW,Neg
17,Barstow OT,Montgomery Bell KR,Neg
18,Peninsula KX,Glenbrook South KZ,Neg
19,Northside  AS,Pace MG,Neg
20,Washburn Rural CN,Berkeley Prep RG,Neg
21,Woodward TJ,Montgomery Bell TB,Neg
22,Glenbrook North CR,Quarry Lane AC,Aff
23,Bellarmine  DD,Niles North CS,Aff
24,Berkeley Prep LS,Northview NL,Aff
25,Quarry Lane PS,Niles North SP,Aff
26,Greenhill BH,Woodward CM,Aff
27,Montgomery Bell LS,Bellarmine  AQ,Neg
28,Univ Of Chicago Lab LL,New Trier SY,Neg
