,Aff,Neg,Win
0,Notre Dame BC,Rowland Hall LD,Aff
1,Niles West SS,Canyon Crest LC,Neg
2,Notre Dame DuPi,Damien-St. Lucy's PP,Neg
3,Niles West RK,Damien-St. Lucy's RS,Aff
4,Notre Dame DP,Meadows KS,Neg
5,Meadows CK,Damien-St. Lucy's CM,Neg
6,Peninsula BB,Canyon Crest CS,Aff
7,Brophy PP,Casady SS,Aff
8,Barstow BM,Brophy SH,Aff
9,Notre Dame AV,Peninsula JS,Aff
10,Niles West VK,Peninsula FL,Aff
11,Rowland Hall CU,Peninsula EW,Aff
12,Peninsula PY,Oak Ridge AH,Neg
13,Peninsula TW,Damien-St. Lucy's DG,Aff
14,Peninsula LW,Damien-St. Lucy's JC,Aff
15,Peninsula ZZ,Damien-St. Lucy's MO,Neg
16,Rowland Hall HG,Damien-St. Lucy's KN,Aff
17,Meadows KR,Peninsula LiLi,Neg
18,Damien-St. Lucy's IG,Casady FJ,Neg
19,Peninsula DY,Notre Dame NP,Neg
