,Aff,Neg,Win
0,Lane Tech  GS,New Trier PY,Neg
1,New Trier CT,Glenbrook North SY,Neg
2,Whitney Young SP,Barstow BM,Aff
3,Green Canyon OZ,Pine Crest RR,Aff
4,Montgomery Bell RP,Solon CN,Aff
5,Woodward CM,Niles West VK,Aff
6,New Trier SW,Okemos DT,Aff
7,Northside  GL,Carrollton School of the Sacred Heart RG,Neg
8,New Trier ArSh,Montgomery Bell SJ,Neg
9,Glenbrook North FP,Solorio VC,Aff
10,Niles West SS,Northside  AV,Aff
11,Glenbrook South PB,Berkeley Prep LL,Aff
12,Pace KG,Berkeley Prep SS,Aff
13,Glenbrook North CiRi,Northside  OS,Neg
14,New Trier AS,Cathryn Gorman Independent CG,Aff
15,Woodward AH,Hawken KZ,Aff
16,Kenwood PW,Herbert Henry Dow CC,Neg
17,Montgomery Bell TB,Mamaroneck AG,Aff
18,Woodward NP,Niles North CS,Aff
19,Avery Coonley FB,Westminster VZ,Aff
20,Glenbrook North WK,Niles North KM,Neg
21,Northside  AD,Berkeley Prep LZ,Neg
22,Mamaroneck MT,Berkeley Prep NY,Neg
23,Lane Tech  CJ,Kenwood TW,Neg
24,Glenbrook South MM,Solorio MC,Aff
25,Wylie E. Groves XC,Liberal Arts and Science BF,Neg
26,Whitney Young BM,Carrollton School of the Sacred Heart JF,Aff
27,Northview TC,Mamaroneck FC,Aff
28,Liberal Arts and Science LiRa,Carrollton School of the Sacred Heart MG,Aff
29,Lane Tech  ZQ,Liberal Arts and Science CK,Neg
30,Walter Payton BR,Solon GH,Aff
31,Northview TN,Montgomery Bell RF,Aff
32,Hawken LK,Glenbrook South KZ,Neg
33,St Ignatius FK,Niles North HD,Aff
34,Niles North ChSh,Berkeley Prep RG,Neg
35,Liberal Arts and Science VA,Kenwood BH,Aff
36,New Trier HY,St Ignatius GG,Neg
37,Lane Tech  RN,Niles West RK,Neg
38,Niles North GW,Glenbrook South CF,Aff
39,New Trier PH,Glenbrook North CL,Neg
40,Iowa City LL,Northside  GT,Neg
41,University OM,Barstow SH,Aff
42,Liberal Arts and Science LR,New Trier MP,Neg
43,Opus CC,Johns Creek VG,Aff
44,Maine East AJ,Univ Of Chicago Lab SJ,Neg
45,Westminster HY,McDonogh SP,Neg
46,Hawken LS,Iowa City CV,Aff
47,Minneapolis South WB,New Trier HJ,Aff
48,Kenwood SW,Univ Of Chicago Lab LL,Aff
49,Denmark Independent BL,Berkeley Prep RV,Neg
50,Whitney Young SW,Maine East GR,Neg
51,Glenbrook North CR,Mamaroneck MP,Neg
