,Aff,Neg,Win
0,Niles North HM,Maine East MS,Aff
1,New Trier SW,Glenbrook South MM,Aff
2,Niles North MK,Northside  AV,Aff
3,Walter Payton YY,Northside  OS,Neg
4,Univ Of Chicago Lab LL,Solorio MC,Aff
5,Iowa City CL,Niles North CS,Neg
6,Solorio MP,Northside  KP,Neg
7,Glenbrook North CR,Washington BD,Aff
8,Whitney Young BM,Walter Payton BS,Neg
9,New Trier ShAn,Northside  GL,Aff
10,Walter Payton DI,New Trier MP,Aff
11,Kenwood BH,Walter Payton DD,Neg
12,Glenbrook North FP,New Trier CT,Aff
13,Niles North GW,Glenbrook North SS,Neg
14,Minneapolis South WB,Von Steuben LM,Aff
15,Wylie E. Groves PS,Goode STEM BH,Neg
16,New Trier PY,Jones FR,Neg
17,Von Steuben LL,Iowa City RL,Neg
18,Maine East GR,Northside  AD,Neg
19,Glenbrook North SY,Glenbrook South WB,Neg
20,Glenbrook North JW,Solorio GC,Aff
21,Glenbrook South TB,Glenbrook North DP,Aff
22,New Trier SB,Glenbrook South CF,Neg
23,Kenwood PW,Glenbrook North DeKo,Neg
24,Whitney Young SW,Northside  DT,Neg
25,Kenwood SW,Northside  GT,Aff
26,New Trier HP,Edina AC,Neg
27,Lane Tech  ZQ,Northside  PP,Aff
28,Glenbrook South MP,Glenbrook North CL,Aff
29,Von Steuben BG,Maine East JW,Neg
30,New Trier HJ,Thomas Kelly MG,Aff
31,Avery Hybrid FB,Northside  CX,Neg
32,New Trier HY,Pittsburgh Central Catholic AH,Neg
33,Solorio TV,Lane Tech  JK,Neg
34,Glenbrook North DK,Jones HB,Neg
35,Whitney Young SV,Niles North SP,Aff
36,Glenbrook South KZ,Whitney Young SP,Neg
37,Walter Payton JF,Niles North KB,Aff
