,Aff,Neg,Win
0,Washburn Rural CN,Liberal Arts and Science LR,Aff
1,Liberal Arts and Science LM,Kenwood SW,Neg
2,Niles North CS,Walter Payton MG,Aff
3,Niles North GW,Maine East JW,Aff
4,Minneapolis South WB,Maine East GR,Aff
5,Solorio MC,Goode STEM CM,Aff
6,Glenbrook South CP,New Trier AnSt,Neg
7,Glenbrook South MM,New Trier PY,Neg
8,Northside  OS,Niles North MK,Neg
9,Glenbrook South BW,Peninsula LL,Neg
10,Liberal Arts and Science BF,Glenbrook South KZ,Aff
11,Niles North HD,Glenbrook North DK,Neg
12,Whitney Young BM,New Trier MP,Aff
13,New Trier HJ,Jesuit BP,Neg
14,Glenbrook North CR,Liberal Arts and Science BS,Aff
15,Peninsula DY,Walter Payton BR,Neg
16,Glenbrook North FP,Peninsula KK,Neg
17,Solorio TG,Glenbrook North CiRi,Neg
18,Von Steuben LM,Washburn Rural CH,Neg
19,Maine East UH,Niles North KM,Neg
20,Glenbrook South BF,New Trier AS,Aff
21,Glenbrook South MP,Univ Of Chicago Lab LL,Aff
22,Univ Of Chicago Lab EJ,Glenbrook North CL,Neg
23,Von Steuben GL,Niles North GH,Aff
24,Glenbrook North HW,New Trier PH,Neg
25,Northside  AD,Peninsula PY,Neg
26,Jesuit LR,Greenhill CL,Neg
27,Jones HB,Von Steuben ML,Aff
28,Thomas Kelly MG,Glenbrook North SY,Neg
