,Aff,Neg,Win
0,McDonogh OB,George Washington MR,Neg
1,Georgetown Day MT,McDonogh KL,Aff
2,McDonogh SP,Georgetown Day DX,Aff
3,Northstar Academy HS - Newark MA,Mamaroneck AG,Neg
4,Stuyvesant FW,Brooklyn Technical JL,Neg
5,Calvert Hall AJ,Mamaroneck FC,Neg
6,Lexington PS,Mamaroneck MK,Neg
7,Stuyvesant SP,Northstar Academy HS - Newark AA,Aff
8,Stuyvesant KS,Georgetown Day HG,Aff
9,Lexington DS,McDonogh VB,Neg
10,Bronx Science HP,Brooklyn Technical RC,Neg
11,Collegiate FK,Lexington JV,Aff
12,Newark Tech BO,Mamaroneck MT,Neg
13,Calvert Hall SW,George Washington PA,Aff
14,Pittsburgh Central Catholic AH,Northstar Academy HS - Newark QY,Neg
15,Success Academy HSLA-MANHATTAN LP,College Prep JG,Neg
16,Calvert Hall HT,Brooklyn Technical GH,Neg
17,Bronx Science AX,Georgetown Day GX,Neg
18,Stuyvesant DE,NSU AY,Neg
19,Mamaroneck WR,Stuyvesant DV,Neg
20,McDonogh CM,Newark Science OO,Neg
21,Georgetown Day GK,Success Academy HSLA-MANHATTAN AB,Aff
22,Georgetown Day KN,Lexington HW,Neg
23,Isidore Newman JN,Mamaroneck AT,Aff
24,Success Academy HSLA-MANHATTAN WP,Brooklyn Technical OS,Aff
25,Brooklyn Technical GA,Lexington DS,Neg
26,Lexington HS,Unionville KH,Neg
27,Georgetown Day RW,Lexington LM,Neg
28,Mamaroneck MS,Newark Science AO,Aff
29,Northstar Academy HS - Newark KS,Brooklyn Technical CS,Neg
30,Newark Tech MR,Collegiate AS,Neg
31,Willamette LB,Stuyvesant NW,Neg
32,Northstar Academy HS - Newark AM,Willamette PB,Aff
