,Aff,Neg,Win
0,ModernBrain PP,Damien-St. Lucy's RS,Aff
1,ModernBrain QY,Liberal Arts and Science CK,Neg
2,Bravo CJ,Canyon Crest CS,Neg
3,Quarry Lane AM,Elizabeth Learning Center CB,Aff
4,Quarry Lane HG,Bravo HH,Aff
5,Huntington Park DS,Canyon Crest ZZ,Aff
6,Damien-St. Lucy's PP,Downtown Magnets KL,Aff
7,Damien-St. Lucy's JC,Independant D'Mello KD,Aff
8,ModernBrain WJ,Culver City NR,Aff
9,Huntington Park BP,ModernBrain SL,Neg
10,Liberal Arts and Science LM,VHTPA GN,Aff
11,Rowland Hall HG,Damien-St. Lucy's KN,Aff
12,Elizabeth Learning Center MT,Quarry Lane AC,Neg
13,Liberal Arts and Science LR,Quarry Lane PS,Aff
14,Damien-St. Lucy's GF,Canyon Crest LY,Neg
15,Quarry Lane KP,Elizabeth Learning Center EV,Aff
16,VHTPA TT,Canyon Crest LC,Neg
