,Aff,Neg,Win
0,Johns Creek HC,Woodward CH,Aff
1,Alpharetta DL,Woodward HS,Neg
2,Alpharetta MM,Montgomery Bell RS,Aff
3,Carrollton School of the Sacred Heart RG,Woodward PD,Neg
4,Montgomery Bell/Harpeth Hall HB,USN CS,Aff
5,Alpharetta IN,Montgomery Bell VT,Neg
6,Montgomery Bell KF,Pace MG,Neg
7,Montgomery Bell RP,Denmark BR,Aff
8,Galloway IR,Carrollton School of the Sacred Heart DF,Aff
9,Montgomery Bell RA,Carrollton School of the Sacred Heart MG,Neg
10,Northview NL,Montgomery Bell WJ,Neg
11,Carrollton School of the Sacred Heart FB,Alpharetta CM,Neg
12,Woodward AR,Montgomery Bell DP,Aff
13,Montgomery Bell MM,Johns Creek VG,Aff
