,Aff,Neg,Win
0,CMIT North KM,Georgetown Day GT,Neg
1,Baltimore City PM,Leon Goldstein CS,Aff
2,Fenway MH,Baltimore City HP,Aff
3,Mamaroneck MS,BASIS DC CM,Neg
4,BASIS DC TD,Banneker ST,Aff
5,Sidwell FV,Mamaroneck MK,Aff
6,Somerville KM,Banneker BF,Aff
7,SWW/Banneker BY,Duke Ellington SA,Aff
8,Unionville HK,Duke Ellington TG,Aff
9,Eleanor Roosevelt AA,Lexington NJ,Aff
10,Somerville WC,Brooklyn Technical SH,Neg
11,Boston Latin LP,Georgetown Day MX,Neg
12,Boston Latin AL,Georgetown Day KN,Neg
13,Baltimore City MW,Georgetown Day DX,Aff
14,SWW WP,Lexington HS,Aff
15,Mamaroneck RW,Newark Science OO,Neg
16,Brooklyn Technical SG,Newark Science AO,Neg
17,SWW NN,Georgetown Day WR,Neg
18,BASIS DC PS,Duke Ellington SO,Aff
19,Brooklyn Technical RC,BASIS DC AP,Aff
20,Lexington DS,Banneker MP,Neg
21,Brooklyn Technical JL,Calvert Hall SW,Aff
