,Aff,Neg,Win
0,Dulles CI,Winston Churchill MP,Aff
1,Ronald Reagan FP,BASIS San Antonio Shavano PK,Neg
2,Northwood BC,Baltimore City College MP,Aff
3,Dulles KM,Memorial SW,Neg
4,Baltimore City College WM,Athens RH,Aff
5,Jesuit CJ,Ore City BS,Neg
6,Westwood SG,Langham Creek EY,Aff
7,Baltimore City College PH,Memorial CS,Neg
8,Stephen F. Austin MM,Kinkaid AK,Neg
9,Northwood ZY,Clear Springs SG,Neg
10,Dulles NM,Westside DB,Aff
11,Dallas Highland Park BC,Northwood SG,Aff
12,Jesuit LR,Winston Churchill LR,Aff
