,Aff,Neg,Win
0,Westminster HY,Pace EW,Aff
1,Hawken LK,Johns Creek GV,Neg
2,NSU BL,Berkeley Prep RV,Neg
3,Peninsula BB,Little Rock Central BF,Neg
4,Little Rock Central BW,Montgomery Bell KF,Neg
5,Alpharetta LD,Pace GK,Neg
6,Berkeley Prep LS,Peninsula WY,Neg
7,Calvert Hall ST,Lexington WH,Neg
8,Little Rock Central GT,Alpharetta CR,Neg
9,Pace GM,Lexington LM,Neg
10,Marist CL,Westminster VZ,Neg
11,Alpharetta GM,Peninsula LiLi,Neg
12,NSU AY,Lexington HS,Neg
13,Westminster PL,McDonogh SP,Neg
14,Berkeley Prep NY,Montgomery Bell SL,Aff
15,Alpharetta MM,Montgomery Bell RW,Aff
16,Little Rock Central LW,Lexington DS,Aff
17,Alpharetta NI,Montgomery Bell RS,Aff
18,Peninsula LY,Montgomery Bell PD,Aff
19,Calvert Hall CH,Montgomery Bell SJ,Neg
20,Berkeley Prep LL,Montgomery Bell PR,Neg
21,Montgomery Bell TB,Hawken KZ,Aff
