,Aff,Neg,Win
0,Westwood GK,Liberal Arts and Science CK,Neg
1,Crossings Christian TL,Jesuit BP,Neg
2,Greenhill BH,Isidore Newman JN,Aff
3,Hendrickson AH,Austin Peace SA,Aff
4,BASIS San Antonio Shavano AT,Pharr San Juan Alamo Southwest VC,Neg
5,Liberal Arts and Science VA,Austin Peace SS,Aff
6,Greenhill MO,Winston Churchill LR,Aff
7,Claudia Taylor Johnson GR,Rock Hill AS,Neg
8,BASIS San Antonio Shavano KP,Westwood GS,Neg
9,Dulles IC,Liberal Arts and Science BS,Neg
10,Pharr San Juan Alamo Southwest CG,Edmond Memorial HL,Neg
11,Winston Churchill RL,Coppell SP,Aff
12,McCallum MV,Heritage Hall HC,Neg
13,Austin Peace KK,Caddo Magnet MP,Neg
14,Niles West SS,Greenhill LB,Aff
15,Langham Creek EY,Westwood BA,Neg
16,Casady FJ,Heritage Hall HH,Aff
17,Casady SS,Prosper HS,Neg
18,Prosper AV,Winston Churchill CL,Aff
19,Crossings Christian SP,Liberal Arts and Science LR,Neg
20,Liberal Arts and Science RL,Lake Travis SO,Neg
21,L C Anderson SW,Coppell JS,Neg
22,Kinkaid AK,Winston Churchill MP,Aff
23,Caddo Magnet VA,Westwood YS,Neg
24,Athens TS,Melissa NT,Neg
25,Dripping Springs CK,Clear Springs SG,Neg
26,Westwood AS,Athens HR,Neg
27,Langham Creek CT,Tomball Memorial CN,Neg
28,Prosper CG,Reagan FP,Aff
29,Westwood TL,Jesuit CJ,Neg
30,Greenhill CS,Elkins PS,Aff
31,Jesuit LR,Liberal Arts and Science LM,Neg
32,Austin Peace KF,Dulles MN,Neg
33,Coppell GM,Melissa SM,Aff
