,Aff,Neg,Win
0,Garfie Brewer & Josephson,Unionville KH,Neg
1,Head Royce DW,Sonoma LM,Neg
2,Branson WP,Millard North WG,Aff
3,Interlake OW,Lowell BS,Aff
4,Stuyvesant DV,Polytechnic KN,Aff
5,Interlake LY,Bellingham HS,Neg
6,Lowell LM,Interlake SK,Aff
7,Green Canyon EH,West HS SLC KA,Neg
8,Garfield BM,Green Canyon OZ,Neg
9,Lake Balboa SP,Polytechnic KH,Aff
10,Interlake CS,Alpharetta MM,Neg
11,Interlake MM,Lowell LL,Neg
12,Stuyvesant NW,Interlake KN,Aff
13,Alpharetta IN,Stuyvesant KB,Neg
14,Sonoma PM,Lowell Guan & Chan,Aff
15,Interlake PV,Lowell Duong & Romero,Aff
