,Aff,Neg,Win
0,Mill Valley FP,Shawnee Mission West WS,Neg
1,Blue Valley TF,Blue Valley West SV,Neg
2,Hayden BG,Blue Valley North CT,Neg
3,Crossings Christian LM,Blue Valley West CR,Aff
4,Crossings Christian SP,Shawnee Mission South KC,Neg
5,Olathe East DG,Shawnee Mission South AZ,Neg
6,Blue Valley West MC,Newton KN,Neg
7,Blue Valley West WA,Blue Valley North PN,Aff
8,Maize CL,Wichita East KZ,Neg
9,Blue Valley West JA,Buhler BL,Neg
10,Wichita Southeast SK,Lawrence Free State EP,Neg
11,Lawrence Free State HF,Manhattan TF,Aff
12,Blue Valley Southwest DT,Blue Valley North BK,Neg
13,Shawnee Mission South MJ,Blue Valley West BW,Aff
14,Olathe East SR,Manhattan BB,Neg
15,Blue Valley West BT,Shawnee Mission East LT,Neg
16,Blue Valley North LP,Blue Valley Southwest PC,Neg
17,Mill Valley HK,Blue Valley North MM,Aff
18,Manhattan HW,Lawrence Free State FH,Neg
