,Aff,Neg,Win
0,Okemos DT,Clear Springs SG,Neg
1,Westminster VZ,Northview LT,Aff
2,Eagan WW,Montgomery Bell TB,Neg
3,Westminster GS,Glenbrook North DK,Aff
4,Woodward CS,Damien-St. Lucy's DL,Aff
5,Quarry Lane CA,Carrollton School of the Sacred Heart FJ,Aff
6,ADL DC,Parkrose GH,Neg
7,Damien-St. Lucy's LW,Alpharetta MM,Aff
8,Alpharetta NI,Woodward AH,Aff
9,Johns Creek GV,Northwood ZY,Neg
10,Liberal Arts and Science LR,Alpharetta GM,Aff
11,ADL WL,Alpharetta CR,Neg
12,Westminster HY,Quarry Lane PS,Aff
13,Alpharetta LD,Glenbrook North DP,Aff
14,Northwood AG,Quarry Lane AM,Neg
15,Quarry Lane HG,BASIS San Antonio Shavano KP,Aff
16,Glenbrook North SS,Damien-St. Lucy's MO,Aff
17,Winston Churchill MP,Green Canyon ZO,Aff
18,Northwood CB,Quarry Lane YY,Neg
19,Marist AR,Woodward JT,Neg
20,James Logan GS,Marist AC,Neg
21,Damien-St. Lucy's GI,Denmark BR,Neg
22,BASIS San Antonio Shavano NR,Quarry Lane KP,Neg
23,Heights DG,Northview LN,Neg
24,Heights CM,Franklin SP,Neg
25,Woodward PR,Damien-St. Lucy's KN,Neg
26,Northwood SS,St Mark's School of Texas JP,Neg
