Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
ADL CC,1600,1600,1600,0,0
ADL CW,1600,1600,1600,0,0
ADL DC,1600,1600,1600,0,0
ADL KC,1600,1600,1600,0,0
ADL KW,1600,1600,1600,0,0
ADL KY,1600,1600,1600,0,0
ADL SW,1600,1600,1600,0,0
ADL WC,1600,1600,1600,0,0
ADL WL,1600,1600,1600,0,0
ADL YD,1600,1600,1600,0,0
Albuquerque AE,1600,1600,1600,0,0
Alief Taylor CP,1600,1600,1600,0,0
Alief Taylor MV,1600,1600,1600,0,0
Alpharetta CR,1600,1600,1600,0,0
Alpharetta GM,1600,1600,1600,0,0
Alpharetta KB,1600,1600,1600,0,0
Alpharetta LD,1600,1600,1600,0,0
Alpharetta MM,1600,1600,1600,0,0
Alpharetta NI,1600,1600,1600,0,0
Alta CL,1600,1600,1600,0,0
Archbishop Mitty DN,1600,1600,1600,0,0
Archbishop Mitty MR,1600,1600,1600,0,0
Archbishop Mitty SS,1600,1600,1600,0,0
Arizona College Prep AS,1600,1600,1600,0,0
ASPEC KB,1600,1600,1600,0,0
Athens HR,1600,1600,1600,0,0
Athens TS,1600,1600,1600,0,0
Austin Peace KF,1600,1600,1600,0,0
Austin Peace KK,1600,1600,1600,0,0
Austin Peace SA,1600,1600,1600,0,0
Austin Peace SS,1600,1600,1600,0,0
Avery Coonley AT,1600,1600,1600,0,0
Avery Coonley FB,1600,1600,1600,0,0
Avery Coonley FN,1600,1600,1600,0,0
Avery Coonley JS,1600,1600,1600,0,0
Avery Coonley SS,1600,1600,1600,0,0
Avery Coonley TZ,1600,1600,1600,0,0
Avery Hybrid FB,1600,1600,1600,0,0
Baltimore City AP,1600,1600,1600,0,0
Baltimore City HM,1600,1600,1600,0,0
Baltimore City HP,1600,1600,1600,0,0
Baltimore City MW,1600,1600,1600,0,0
Baltimore City PM,1600,1600,1600,0,0
Banneker BF,1600,1600,1600,0,0
Banneker BM,1600,1600,1600,0,0
Banneker DT,1600,1600,1600,0,0
Banneker MP,1600,1600,1600,0,0
Banneker MS,1600,1600,1600,0,0
Banneker ST,1600,1600,1600,0,0
Banneker TG,1600,1600,1600,0,0
Banneker TY,1600,1600,1600,0,0
Banneker YG,1600,1600,1600,0,0
Barack Obama Male Leadership Academy (HS) VT,1600,1600,1600,0,0
Barstow AR,1600,1600,1600,0,0
Barstow BM,1600,1600,1600,0,0
Barstow GH,1600,1600,1600,0,0
Barstow KP,1600,1600,1600,0,0
Barstow OS,1600,1600,1600,0,0
Barstow SB,1600,1600,1600,0,0
Barstow SH,1600,1600,1600,0,0
Barstow TD,1600,1600,1600,0,0
Barstow TM,1600,1600,1600,0,0
BASIS DC AP,1600,1600,1600,0,0
BASIS DC AS,1600,1600,1600,0,0
BASIS DC CM,1600,1600,1600,0,0
BASIS DC DS,1600,1600,1600,0,0
BASIS DC PP,1600,1600,1600,0,0
BASIS DC PS,1600,1600,1600,0,0
BASIS DC TD,1600,1600,1600,0,0
BASIS DC TP,1600,1600,1600,0,0
BASIS Peoria JG,1600,1600,1600,0,0
BASIS San Antonio Shavano AT,1600,1600,1600,0,0
BASIS San Antonio Shavano KP,1600,1600,1600,0,0
BASIS San Antonio Shavano NR,1600,1600,1600,0,0
Bellarmine  AQ,1600,1600,1600,0,0
Bellarmine  CG,1600,1600,1600,0,0
Bellarmine  DD,1600,1600,1600,0,0
Bellarmine  OL,1600,1600,1600,0,0
Bellarmine  RH,1600,1600,1600,0,0
Berkeley Prep GN,1600,1600,1600,0,0
Berkeley Prep GS,1600,1600,1600,0,0
Berkeley Prep KN,1600,1600,1600,0,0
Berkeley Prep LG,1600,1600,1600,0,0
Berkeley Prep LL,1600,1600,1600,0,0
Berkeley Prep LS,1600,1600,1600,0,0
Berkeley Prep NY,1600,1600,1600,0,0
Berkeley Prep RG,1600,1600,1600,0,0
Berkeley Prep RV,1600,1600,1600,0,0
Berkeley Prep RZ,1600,1600,1600,0,0
Berkeley Prep SS,1600,1600,1600,0,0
Berkeley Prep ZL,1600,1600,1600,0,0
Blue Valley EM,1600,1600,1600,0,0
Blue Valley North BK,1600,1600,1600,0,0
Blue Valley North BN,1600,1600,1600,0,0
Blue Valley North CT,1600,1600,1600,0,0
Blue Valley North DH,1600,1600,1600,0,0
Blue Valley North LP,1600,1600,1600,0,0
Blue Valley North MM,1600,1600,1600,0,0
Blue Valley North NH,1600,1600,1600,0,0
Blue Valley North NN,1600,1600,1600,0,0
Blue Valley North PN,1600,1600,1600,0,0
Blue Valley North PS,1600,1600,1600,0,0
Blue Valley Northwest JW,1600,1600,1600,0,0
Blue Valley Southwest DT,1600,1600,1600,0,0
Blue Valley Southwest HK,1600,1600,1600,0,0
Blue Valley Southwest PC,1600,1600,1600,0,0
Blue Valley TF,1600,1600,1600,0,0
Blue Valley TH,1600,1600,1600,0,0
Blue Valley West BG,1600,1600,1600,0,0
Blue Valley West BT,1600,1600,1600,0,0
Blue Valley West BW,1600,1600,1600,0,0
Blue Valley West CR,1600,1600,1600,0,0
Blue Valley West JA,1600,1600,1600,0,0
Blue Valley West MC,1600,1600,1600,0,0
Blue Valley West MJ,1600,1600,1600,0,0
Blue Valley West SV,1600,1600,1600,0,0
Blue Valley West VS,1600,1600,1600,0,0
Blue Valley West WA,1600,1600,1600,0,0
Blue Valley West WJ,1600,1600,1600,0,0
Boston Latin AL,1600,1600,1600,0,0
Boston Latin LL,1600,1600,1600,0,0
Boston Latin LP,1600,1600,1600,0,0
Branson PW,1600,1600,1600,0,0
Bravo BB,1600,1600,1600,0,0
Bravo RF,1600,1600,1600,0,0
Bronx Science AX,1600,1600,1600,0,0
Bronx Science BD,1600,1600,1600,0,0
Bronx Science BG,1600,1600,1600,0,0
Bronx Science CF,1600,1600,1600,0,0
Bronx Science CG,1600,1600,1600,0,0
Bronx Science EK,1600,1600,1600,0,0
Bronx Science HP,1600,1600,1600,0,0
Bronx Science ML,1600,1600,1600,0,0
Bronx Science NN,1600,1600,1600,0,0
Bronx Science OA,1600,1600,1600,0,0
Bronx Science SC,1600,1600,1600,0,0
Brooklyn Technical CS,1600,1600,1600,0,0
Brooklyn Technical GA,1600,1600,1600,0,0
Brooklyn Technical GH,1600,1600,1600,0,0
Brooklyn Technical HS Independent CR,1600,1600,1600,0,0
Brooklyn Technical HS Independent GS,1600,1600,1600,0,0
Brooklyn Technical JL,1600,1600,1600,0,0
Brooklyn Technical MC,1600,1600,1600,0,0
Brooklyn Technical OS,1600,1600,1600,0,0
Brooklyn Technical RC,1600,1600,1600,0,0
Brooklyn Technical SG,1600,1600,1600,0,0
Brooklyn Technical SH,1600,1600,1600,0,0
Brophy PP,1600,1600,1600,0,0
