,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
0,ADL CC,1254.743,1615.251,1016.572,3.0,3.0
1,ADL CW,1125.901,1406.198,1304.205,3.0,3.0
2,ADL DC,1354.301,1334.257,1471.483,3.0,3.0
3,ADL KC,1316.97,1165.072,1546.399,3.0,3.0
4,ADL KW,892.252,1257.168,959.505,3.0,3.0
5,ADL KY,1655.238,1582.915,1805.604,3.0,3.0
6,ADL SW,1224.724,1212.35,1229.604,3.0,3.0
7,ADL WC,563.672,981.715,879.066,3.0,3.0
8,ADL WL,1181.975,1434.256,1116.145,3.0,3.0
9,ADL YD,1737.751,1463.173,1808.83,3.0,3.0
10,Albuquerque AE,1538.123,1488.83,1706.091,3.0,3.0
11,Alief Taylor CP,990.661,1304.616,1063.901,3.0,3.0
12,Alief Taylor MV,841.464,1056.756,999.487,3.0,3.0
13,Alpharetta CR,1740.359,1432.119,1953.057,6.0,6.0
14,Alpharetta GM,1926.447,1883.613,1850.505,9.0,9.0
15,Alpharetta KB,2075.337,2314.998,1951.891,3.0,5.0
16,Alpharetta LD,1380.936,1423.699,1063.55,6.0,5.0
17,Alpharetta MM,2023.341,1855.598,2000.069,18.0,19.0
18,Alpharetta NI,2067.59,2287.503,1738.16,16.0,17.0
19,Alta CL,1119.338,1389.05,970.224,3.0,3.0
20,Archbishop Mitty DN,1655.251,1564.307,1673.791,3.0,3.0
21,Archbishop Mitty MR,2037.557,2108.879,1897.336,10.0,10.0
22,Archbishop Mitty SS,1936.038,1840.501,1995.721,3.0,4.0
23,Arizona College Prep AS,1342.415,1222.495,1679.364,3.0,2.0
24,ASPEC KB,2331.288,2405.715,2089.28,5.0,3.0
25,Athens HR,2093.782,1914.36,1984.066,5.0,8.0
26,Athens TS,1426.635,1497.801,1376.257,6.0,6.0
27,Austin Peace KF,531.429,789.677,902.985,3.0,3.0
28,Austin Peace KK,911.192,1140.942,1387.771,3.0,3.0
29,Austin Peace SA,1283.964,1493.703,1420.544,3.0,3.0
30,Austin Peace SS,813.37,1283.602,922.953,3.0,3.0
31,Avery Coonley AT,1121.229,1528.025,1090.481,3.0,3.0
32,Avery Coonley FB,1609.815,1876.132,1349.271,3.0,3.0
33,Avery Coonley FN,1360.255,1571.69,1344.074,3.0,3.0
34,Avery Coonley JS,1445.269,1704.48,1161.512,3.0,3.0
35,Avery Coonley SS,1322.603,1364.778,1438.159,3.0,3.0
36,Avery Coonley TZ,988.949,1235.679,1000.326,3.0,3.0
37,Avery Hybrid FB,1622.997,1650.893,1548.735,3.0,3.0
38,Baltimore City AP,2029.767,2058.461,1967.996,4.0,3.0
39,Baltimore City HM,1564.439,1444.178,1643.355,3.0,3.0
40,Baltimore City HP,1762.433,1772.053,1660.804,6.0,7.0
41,Baltimore City MW,2072.549,2143.457,2048.083,16.0,22.0
42,Baltimore City PM,1906.971,1860.128,1769.06,7.0,6.0
43,Banneker BF,1377.342,1373.733,1243.517,3.0,3.0
44,Banneker BM,1146.605,1353.462,1300.164,3.0,3.0
45,Banneker DT,1606.069,1605.271,1775.22,3.0,3.0
46,Banneker MP,1643.547,1471.04,1755.633,3.0,3.0
47,Banneker MS,1467.191,1584.984,1397.54,3.0,3.0
48,Banneker ST,944.399,1096.571,1055.567,6.0,6.0
49,Banneker TG,1460.916,1757.901,1364.65,3.0,3.0
50,Banneker TY,1919.238,2028.319,1680.907,3.0,3.0
51,Banneker YG,1422.025,1590.831,1384.854,3.0,3.0
52,Barack Obama Male Leadership Academy (HS) VT,1020.25,1111.086,1610.999,3.0,3.0
53,Barstow AR,1185.559,1127.003,1390.805,3.0,3.0
54,Barstow BM,1658.471,1642.435,1538.354,9.0,9.0
55,Barstow GH,1798.847,1974.22,1512.24,6.0,7.0
56,Barstow KP,1453.787,1688.279,1144.584,6.0,5.0
57,Barstow OS,1946.124,1558.837,2264.378,4.0,3.0
58,Barstow SB,1871.158,1867.996,1754.087,3.0,4.0
59,Barstow SH,2154.205,2619.282,1539.408,6.0,7.0
60,Barstow TD,1073.439,958.344,1716.431,3.0,2.0
61,Barstow TM,1259.502,966.871,1572.63,3.0,3.0
62,BASIS DC AP,1851.649,1919.869,1738.338,7.0,7.0
63,BASIS DC AS,2072.365,2113.746,1857.575,5.0,3.0
64,BASIS DC CM,1940.827,1745.209,2158.716,10.0,9.0
65,BASIS DC DS,1777.466,1749.648,1692.714,3.0,3.0
66,BASIS DC PP,1389.628,1437.041,1734.478,3.0,3.0
67,BASIS DC PS,1949.073,2210.935,1605.546,3.0,3.0
68,BASIS DC TD,1376.491,1178.951,1588.909,6.0,6.0
69,BASIS DC TP,1459.551,1489.005,1323.95,3.0,3.0
70,BASIS Peoria JG,1712.323,1596.145,1670.611,7.0,6.0
71,BASIS San Antonio Shavano AT,787.808,968.329,1035.905,3.0,3.0
72,BASIS San Antonio Shavano KP,1881.792,1774.866,1812.446,10.0,10.0
73,BASIS San Antonio Shavano NR,1402.081,1298.701,1352.235,3.0,3.0
74,Bellarmine  AQ,2365.417,2073.454,2510.533,17.0,16.0
75,Bellarmine  CG,1928.632,1837.421,2006.822,6.0,9.0
76,Bellarmine  DD,2522.297,2569.149,2372.417,19.0,15.0
77,Bellarmine  OL,2128.601,1770.015,2195.794,7.0,7.0
78,Bellarmine  RH,1974.157,1898.651,1862.889,7.0,8.0
79,Berkeley Prep GN,961.994,807.678,1306.618,4.0,3.0
80,Berkeley Prep GS,1824.773,1650.392,2101.845,7.0,6.0
81,Berkeley Prep KN,743.897,1071.597,1047.375,4.0,3.0
82,Berkeley Prep LG,1866.647,1774.113,1742.339,4.0,3.0
83,Berkeley Prep LL,1869.045,1686.015,1817.644,13.0,13.0
84,Berkeley Prep LS,1900.867,1613.122,1862.974,6.0,6.0
85,Berkeley Prep NY,2229.983,2195.227,2154.226,20.0,23.0
86,Berkeley Prep RG,2105.616,1832.91,2160.459,10.0,9.0
87,Berkeley Prep RV,2663.787,2647.934,2549.252,27.0,23.0
88,Berkeley Prep RZ,2234.173,2862.373,1695.41,7.0,7.0
89,Berkeley Prep SS,1920.966,1905.619,1831.046,10.0,10.0
90,Berkeley Prep ZL,1600.0,1600.0,1600.0,0.0,0.0
91,Blue Valley EM,1517.377,1269.852,1847.182,3.0,3.0
92,Blue Valley North BK,1803.594,1550.191,2005.604,11.0,9.0
93,Blue Valley North BN,1813.649,1527.475,1972.528,6.0,7.0
94,Blue Valley North CT,1994.813,1931.148,1873.036,19.0,21.0
95,Blue Valley North DH,1470.74,1387.458,1616.317,3.0,3.0
